Symbol    ,Current Price ,Date       ,Time      ,Change       ,Open   ,High     ,Low     ,Volume   ,Trade Date ,Purchase Price ,Quantity ,Commission ,High Limit ,Low Limit ,Comment
O         ,        55.26 ,2024-05-03 ,16:00 EDT ,0.349998     , 55.4  , 55.7409 , 54.86  , 5837385 ,  20240108 ,       58.89   ,   3     ,           ,           ,          ,
VZ        ,        38.89 ,2024-05-03 ,16:00 EDT ,-0.0400009   , 39.05 , 39.19   , 38.75  ,12837931 ,  20230202 ,       45.075  ,   2     ,           ,           ,          ,
JEPI      ,        56.06 ,2024-05-03 ,16:00 EDT ,0.370003     , 56.06 , 56.11   , 55.82  , 3605489 ,  20221114 ,       56.8266 ,   6     ,           ,           ,          ,
JEPI      ,        56.06 ,2024-05-03 ,16:00 EDT ,0.370003     , 56.06 , 56.11   , 55.82  , 3605489 ,  20221222 ,       59.0966 ,   3     ,           ,           ,          ,
XEI.TO    ,        25.04 ,2024-05-03 ,15:57 EDT ,0.16000175   , 25.01 , 25.11   , 24.97  ,  111115 ,  20221101 ,       27.953  ,  10     ,           ,           ,          ,
ZDV.TO    ,        20.02 ,2024-05-03 ,15:59 EDT ,0.14999962   , 19.97 , 20.03   , 19.94  ,   39904 ,  20221011 ,       20.04   ,   8     ,           ,           ,          ,
BCE.TO    ,        45.96 ,2024-05-03 ,16:00 EDT ,0.8199997    , 45.42 , 46.07   , 45.42  , 3001877 ,  20221005 ,       61.3783 ,   6     ,           ,           ,          ,
BCE.TO    ,        45.96 ,2024-05-03 ,16:00 EDT ,0.8199997    , 45.42 , 46.07   , 45.42  , 3001877 ,  20230309 ,       65.475  ,   2     ,           ,           ,          ,
SCHD      ,        77.97 ,2024-05-03 ,16:00 EDT ,0.700005     , 77.97 , 78.3    , 77.58  , 2606690 ,  20220912 ,       76.85   ,   5     ,           ,           ,          ,
SCHD      ,        77.97 ,2024-05-03 ,16:00 EDT ,0.700005     , 77.97 , 78.3    , 77.58  , 2606690 ,  20221230 ,       78.586  ,   3     ,           ,           ,          ,
VDY.TO    ,        43.54 ,2024-05-03 ,15:59 EDT ,0.15000153   , 43.67 , 43.74   , 43.44  ,  187528 ,  20220912 ,       45.5311 ,   9     ,           ,           ,          ,
AQN.TO    ,         8.94 ,2024-05-03 ,16:00 EDT ,0.03999996   ,  8.97 ,  9.14   ,  8.91  , 2074736 ,  20240326 ,        8.22   ,   2     ,      0    ,           ,          ,
AQN.TO    ,         8.94 ,2024-05-03 ,16:00 EDT ,0.03999996   ,  8.97 ,  9.14   ,  8.91  , 2074736 ,  20240326 ,        8.23   ,   2     ,      0    ,           ,          ,
AQN.TO    ,         8.94 ,2024-05-03 ,16:00 EDT ,0.03999996   ,  8.97 ,  9.14   ,  8.91  , 2074736 ,  20240416 ,        7.8342 ,   0.077 ,      0    ,           ,          ,DRIP
BCE.TO    ,        45.96 ,2024-05-03 ,16:00 EDT ,0.8199997    , 45.42 , 46.07   , 45.42  , 3001877 ,  20240319 ,       46.46   ,   1     ,      0    ,           ,          ,
BCE.TO    ,        45.96 ,2024-05-03 ,16:00 EDT ,0.8199997    , 45.42 , 46.07   , 45.42  , 3001877 ,  20240404 ,       44.7636 ,   0.128 ,      0    ,           ,          ,
BNS.TO    ,        64.13 ,2024-05-03 ,16:00 EDT ,0.829998     , 63.75 , 64.28   , 63.64  , 3728428 ,  20240326 ,       68.62   ,   1     ,      0    ,           ,          ,
BNS.TO    ,        64.13 ,2024-05-03 ,16:00 EDT ,0.829998     , 63.75 , 64.28   , 63.64  , 3728428 ,  20240429 ,       63.5629 ,   0.017 ,      0    ,           ,          ,
CIX.TO    ,        16.7  ,2024-05-03 ,16:00 EDT ,0.40000153   , 16.38 , 16.76   , 16.37  ,  640873 ,  20240328 ,       17.26   ,   1     ,      0    ,           ,          ,
CM.TO     ,        65.51 ,2024-05-03 ,16:00 EDT ,0.8100052    , 65    , 65.7    , 64.9   ,11918284 ,  20240326 ,       68.48   ,   1     ,      0    ,           ,          ,
CM.TO     ,        65.51 ,2024-05-03 ,16:00 EDT ,0.8100052    , 65    , 65.7    , 64.9   ,11918284 ,  20240430 ,       64.8145 ,   0.014 ,      0    ,           ,          ,
CNR.TO    ,       168.97 ,2024-05-03 ,16:00 EDT ,2.1699982    ,167.84 ,169.4    ,167.26  ,  568986 ,  20240429 ,      170.59   ,   0.942 ,      0    ,           ,          ,
DIR-UN.TO ,        12.77 ,2024-05-03 ,16:00 EDT ,0.10000038   , 12.75 , 12.88   , 12.68  ,  285664 ,  20240328 ,       13.14   ,   1     ,      0    ,           ,          ,
ENB.TO    ,        49.73 ,2024-05-03 ,16:00 EDT ,-0.10000229  , 49.95 , 50.37   , 49.64  , 5547797 ,  20240418 ,       46.32   ,   2     ,      0    ,           ,          ,
FRU.TO    ,        13.95 ,2024-05-03 ,16:00 EDT ,-0.05000019  , 14.05 , 14.09   , 13.92  ,  204382 ,  20240416 ,       14.33   ,   0.006 ,      0    ,           ,          ,DRIP
FRU.TO    ,        13.95 ,2024-05-03 ,16:00 EDT ,-0.05000019  , 14.05 , 14.09   , 13.92  ,  204382 ,  20240326 ,       14.57   ,   1     ,      0    ,           ,          ,
GEI.TO    ,        22.15 ,2024-05-03 ,16:00 EDT ,-0.010000229 , 22.32 , 22.43   , 22.11  ,  211581 ,  20240328 ,       23.1    ,   1     ,      0    ,           ,          ,
LB.TO     ,        26.09 ,2024-05-03 ,16:00 EDT ,0            , 26.36 , 26.45   , 25.95  ,   91947 ,  20240328 ,       28.09   ,   1     ,      0    ,           ,          ,
NOK       ,         3.69 ,2024-05-03 ,16:00 EDT ,0.02         ,  3.71 ,  3.721  ,  3.68  ,13578167 ,  20240321 ,        3.5983 ,   3     ,      0.25 ,           ,          ,
NPI.TO    ,        21.63 ,2024-05-03 ,16:00 EDT ,0.25         , 21.59 , 21.7    , 21.25  ,  832981 ,  20240416 ,       21.39   ,   0.014 ,      0    ,           ,          ,DRIP
NPI.TO    ,        21.63 ,2024-05-03 ,16:00 EDT ,0.25         , 21.59 , 21.7    , 21.25  ,  832981 ,  20240326 ,       20.79   ,   1     ,      0    ,           ,          ,
O         ,        55.26 ,2024-05-03 ,16:00 EDT ,0.349998     , 55.4  , 55.7409 , 54.86  , 5837385 ,  20240429 ,       54.4891 ,   1     ,      0    ,           ,          ,
POW.TO    ,        37.85 ,2024-05-03 ,16:00 EDT ,0.43999863   , 37.69 , 38.02   , 37.62  , 3971579 ,  20240502 ,       37.1091 ,   0.015 ,      0    ,           ,          ,
POW.TO    ,        37.85 ,2024-05-03 ,16:00 EDT ,0.43999863   , 37.69 , 38.02   , 37.62  , 3971579 ,  20240326 ,       37.95   ,   1     ,      0    ,           ,          ,
TCL-A.TO  ,        13.94 ,2024-05-03 ,16:00 EDT ,0.09999943   , 14    , 14      , 13.78  ,   67562 ,  20240423 ,       13.9473 ,   0.016 ,      0    ,           ,          ,
TCL-A.TO  ,        13.94 ,2024-05-03 ,16:00 EDT ,0.09999943   , 14    , 14      , 13.78  ,   67562 ,  20240328 ,       14.69   ,   1     ,      0    ,           ,          ,
TD.TO     ,        74.8  ,2024-05-03 ,16:00 EDT ,-4.6399994   , 79.41 , 79.8    , 74.03  ,14821663 ,  20240326 ,       81.12   ,   1     ,      0    ,           ,          ,
TD.TO     ,        74.8  ,2024-05-03 ,16:00 EDT ,-4.6399994   , 79.41 , 79.8    , 74.03  ,14821663 ,  20240501 ,       81.2514 ,   0.013 ,      0    ,           ,          ,
TRP.TO    ,        51.44 ,2024-05-03 ,16:00 EDT ,1.6299973    , 50.69 , 51.73   , 50.58  , 5033643 ,  20240501 ,       49.194  ,   0.02  ,      0    ,           ,          ,
TRP.TO    ,        51.44 ,2024-05-03 ,16:00 EDT ,1.6299973    , 50.69 , 51.73   , 50.58  , 5033643 ,  20240326 ,       54.94   ,   1     ,      0    ,           ,          ,
VFV.TO    ,       124.49 ,2024-05-03 ,15:59 EDT ,1.6399994    ,123.99 ,124.63   ,123.8   ,  227533 ,  20240429 ,      123.93   ,   1     ,      0    ,           ,          ,
VUN.TO    ,        94.22 ,2024-05-03 ,15:58 EDT ,1.090004     , 94.14 , 94.35   , 93.85  ,   26599 ,  20240429 ,       93.8    ,   1     ,      0    ,           ,          ,
WTE.TO    ,        26.38 ,2024-05-03 ,16:00 EDT ,-0.050001144 , 26.44 , 26.62   , 26.345 ,   48870 ,  20240328 ,       25.84   ,   1     ,      0    ,           ,          ,
XEQT.TO   ,        29.97 ,2024-05-03 ,15:59 EDT ,0.289999     , 29.9  , 29.98   , 29.84  ,  150863 ,  20240503 ,       29.86   ,  10     ,      0    ,           ,          ,
